Subject,Start Date,End Date,Start Time,End Time,Location,Description
"Sonderausstellung ""Aus Großelterns Zeiten""",09/03/2018,09/03/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Sonderausstellung_Aus_Grosselterns_Zeiten_4
"Sonderausstellung ""Aus Großelterns Zeiten""",09/04/2018,09/04/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Sonderausstellung_Aus_Grosselterns_Zeiten_4
type brut,09/04/2018,09/04/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/type_brut_2
"Dauerausstellung ""ES WAR EINMAL ...""",09/04/2018,09/04/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
"Sonderausstellung ""Aus Großelterns Zeiten""",09/05/2018,09/05/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Sonderausstellung_Aus_Grosselterns_Zeiten_4
Austauschgruppe für Angehörige von Menschen mit Demenz,09/05/2018,09/05/2018,17:30,19:00,Alten- u. Pflegeheim Barmherzige Brüder,http://www.klosterneuburg.at/Austauschgruppe_fuer_Angehoerige_von_Menschen_mit_Demenz_4
"Dauerausstellung ""ES WAR EINMAL ...""",09/05/2018,09/05/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
type brut,09/05/2018,09/05/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/type_brut_2
"Dauerausstellung ""ES WAR EINMAL ...""",09/06/2018,09/06/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
"Sonderausstellung ""Aus Großelterns Zeiten""",09/06/2018,09/06/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Sonderausstellung_Aus_Grosselterns_Zeiten_4
