"id","name","street","city","data","message","created_when","latitude","longitude"
"818","Reisebüro Babenberg","Niedermarkt 13","Klosterneuburg","[""Gutschein""]",,"2017-09-29 11:47:36","48.3092496","16.3254667"
"547","Waltraud Salon","Albrechtstr. 30","Klosterneuburg","[""Haarprodukte""]",,"2017-09-30 09:43:17","48.3093210","16.3212182"
"3314","Frisör Kaisler","Roman Himmelbauerplatz 1","Kierling","[""B\u00fcrstenset ""]",,"2017-09-30 10:42:25","48.3085797","16.2735227"
"198","kredenz.me","Wienerstrasse 102","Klosterneuburg","[""3*10\u20ac""]",,"2017-09-30 10:45:59","48.2975651","16.3335260"
"197","Kierlingerhof Gasthaus","Hauptstraße 14","Kierling","[""2x10\u20ac""]",,"2017-09-30 11:01:01","48.3090970","16.2739800"
"81","Apotheke zur heiligen Agnes","Wiener Straße 104","Klosterneuburg","[""Beauty produkte""]",,"2017-09-30 11:02:32","48.2975752","16.3338322"
"182","Gasthaus Rath-Smetana","Hauptstraße 51","Weidling","[""30\u20ac""]",,"2017-09-30 11:43:23","48.2841860","16.2909890"
"204","Trat Gasthaus","Brandmayerstr. 21","Klosterneuburg-Weidling","[""Wodka""]",,"2017-09-30 12:13:06","48.2931749","16.3221029"
"390","Gschweidl Augenoptik-Hörgeräte-Foto","Stadtplatz  27","Klosterneuburg","[""20\u20ac""]",,"2017-10-02 09:07:52","48.3093259","16.3246127"
"777","Kuoni Klosterneuburg","Hofkirchnergasse  17","Klosterneuburg","[""3 Gutscheine""]",,"2017-10-02 09:34:25","48.3077854","16.3222131"
"548","Immobilien Weber","Hofkirchnergasse  7-9","Klosterneuburg","[""5 Goldsekt, Zuckerl und Tasche""]",,"2017-10-02 09:35:09","48.3073122","16.3228829"
"369","Zisser Maschinen","Kierlingerstraße  9","Klosterneuburg","[""Rucksack""]",,"2017-10-02 09:51:59","48.3072304","16.3206032"
"349","Sport Gitti","Stadtplatz 42","Klosterneuburg","[""2 Rucks\u00e4cke""]",,"2017-10-02 10:18:40","48.3090383","16.3232315"
"373","Zechner´s Spada","Stadtplatz 39","Klosterneuburg","[""50 \u20ac Gutschein""]","Muss erwähnt werden","2017-10-02 18:10:34","48.3084366","16.3225974"
"173","Hotel Anker","Niedermarkt  5","Klosterneuburg","[""20\u20ac Gutschein""]","liegt bei LSd im Spind","2017-10-03 09:28:19","48.3088647","16.3259138"
"3316","Haar & Co","Hauptstraße 1a","Weidling","[""2*20\u20ac""]",,"2017-10-07 10:10:32","48.2905182","16.3108510"
"379","Boutique Laufsteg","Weidlinger Straße  3","Klosterneuburg","[""10 Spenden (Ketten, u.a.)""]",,"2017-10-07 14:21:56","48.2967496","16.3336279"
"3313","Frisör Laltra","Wiener Straße 102","Klosterneuburg","[""Gutschein und Haarprodukte""]",,"2017-10-07 14:23:56","48.2975651","16.3335260"
"314","Drogerie Carola","Wiener Straße 106","Klosterneuburg","[""Gutschein und Creme""]",,"2017-10-07 14:24:58","48.2971437","16.3332633"
"409","Kieslich OHG","Rathausplatz  12","Klosterneuburg","[""Kette""]",,"2017-10-07 14:25:23","48.3057060","16.3248021"
"83","Rathaus-Apotheke","Rathausplatz 13","Klosterneuburg","[""Creme""]",,"2017-10-07 14:26:04","48.3056192","16.3248463"
"399","Schittenkopf Blumen","Rathauspl. 15","Klosterneuburg","[""Gutschein""]",,"2017-10-07 14:26:44","48.3055240","16.3251793"
"308","Country Home","Stadtplatz 23","Klosterneuburg","[""Geschenksackerl""]",,"2017-10-07 14:27:45","48.3097614","16.3251991"
"286","Schönes & Rahmen","Stadtplatz 25","Klosterneuburg","[""Bilderrahmen""]",,"2017-10-07 14:28:15","48.3096689","16.3248790"
"322","FRÖHLICH GERHARD Rahmen & Bilder","Albrechtstr. 22","Klosterneuburg","[""Bilderrahmen""]",,"2017-10-07 14:28:33","48.3090297","16.3216196"
